datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
23-12-19 19,0,45.438774,0,45.43877411
23-12-19 20,0,45.438774,0,45.43877411
23-12-19 21,0,45.438847,0,45.43884659
23-12-19 22,0,45.438847,0,45.43884659
23-12-19 23,0,45.438774,0,45.43877411
24-12-19 00,0,45.438774,0,45.43877411
24-12-19 01,0,45.438774,0,45.43877411
24-12-19 02,0,45.438774,0,45.43877411
24-12-19 03,0,45.438774,0,45.43877411
24-12-19 04,0,45.438774,0,45.43877411
24-12-19 05,0,45.438774,0,45.43877411
24-12-19 06,0,45.438774,0,45.43877411
24-12-19 07,0,45.438774,0,45.43877411
24-12-19 08,0,45.438774,163.238465,-117.7996909
24-12-19 09,0,578.54565,175.6427036,402.9029507
24-12-19 10,12.141918,168.46388,270.8181182,-102.3542357
24-12-19 11,48.28194,320.2882,392.6710351,-72.38282708
24-12-19 12,78.65511,447.4444,1078.994855,-631.5504582
24-12-19 13,93.91957,896.83105,379.3211246,517.5099301
24-12-19 14,77.15489,125.10999,181.5200142,-56.41002119
24-12-19 15,98.83357,154.61035,21.9572864,132.6530652
24-12-19 16,42.162914,46.585102,0,46.58510208
24-12-19 17,7.4298034,65.93065,0,65.9306488
24-12-19 18,0,50.46609,0,50.46609116
24-12-19 19,0,45.438774,0,45.43877411
24-12-19 20,0,45.438774,0,45.43877411
24-12-19 21,0,45.438774,0,45.43877411
24-12-19 22,0,45.438774,0,45.43877411
24-12-19 23,0,45.438774,0,45.43877411
25-12-19 00,0,45.438774,0,45.43877411
25-12-19 01,0,45.438774,0,45.43877411
25-12-19 02,0,45.438774,0,45.43877411
25-12-19 03,0,45.438774,0,45.43877411
25-12-19 04,0,45.438774,0,45.43877411
25-12-19 05,0,45.438847,0,45.43884659
25-12-19 06,0,45.438847,0,45.43884659
25-12-19 07,0,45.438774,0,45.43877411
25-12-19 08,0,45.438774,0,45.43877411
25-12-19 09,0,45.438774,2.674812504,42.7639616
25-12-19 10,13.7501955,47.31849,0,47.31848907
25-12-19 11,17.625275,40.09828,32.98349963,7.114782233
25-12-19 12,28.945717,65.21194,327.4223645,-262.2104276
25-12-19 13,62.970272,641.46454,117.300502,524.1640366
25-12-19 14,99.93593,139.6471,8.268902252,131.3781925
25-12-19 15,94.10912,46.904503,0.219696674,46.68480619
25-12-19 16,47.341022,33.69403,0,33.69403076
25-12-19 17,6.673645,74.52011,0,74.52011108
25-12-19 18,0,49.634968,0,49.6349678
25-12-19 19,0,45.438774,0,45.43877411
25-12-19 20,0,45.438774,0,45.43877411
25-12-19 21,0,45.438774,0,45.43877411
25-12-19 22,0,45.438774,0,45.43877411
25-12-19 23,0,45.438774,0,45.43877411
26-12-19 00,0,45.438774,0,45.43877411
26-12-19 01,0,45.438774,0,45.43877411
26-12-19 02,0,45.438774,0,45.43877411
26-12-19 03,0,45.438774,0,45.43877411
26-12-19 04,0,45.438774,0,45.43877411
26-12-19 05,0,45.438774,0,45.43877411
26-12-19 06,0,45.438774,0,45.43877411
26-12-19 07,0,45.438774,0,45.43877411
26-12-19 08,0,45.438774,15.75520817,29.68356594
26-12-19 09,0,64.635735,70.24960088,-5.613866317
26-12-19 10,12.606179,167.30322,164.2723547,3.030867996
26-12-19 11,59.906616,278.39853,314.6263879,-36.22785885
26-12-19 12,89.344284,423.77676,607.0252145,-183.2484506
26-12-19 13,103.15831,615.7423,211.8411397,403.9011699
26-12-19 14,90.91896,83.089874,138.5251634,-55.43528914
26-12-19 15,38.99411,123.135826,10.99717902,112.1386471
26-12-19 16,35.743553,50.46623,0,50.46622849
26-12-19 17,6.7948866,76.61737,0,76.61737061
26-12-19 18,0,49.760994,0,49.76099396
26-12-19 19,0,45.438774,0,45.43877411
26-12-19 20,0,45.438774,0,45.43877411
26-12-19 21,0,45.438774,0,45.43877411
26-12-19 22,0,45.438774,0,45.43877411
26-12-19 23,0,45.438774,0,45.43877411
