datetime,Direct Short Wave Radiation (W/m^2),Predicted (W),Actual(W),error(W)
10-01-20 05,0,45.438847,0,45.43884659
10-01-20 06,0,45.438847,0,45.43884659
10-01-20 07,0,45.438774,0,45.43877411
10-01-20 08,0,45.438774,25.04646462,20.39230949
10-01-20 09,0,75.913605,123.5041828,-47.59057804
10-01-20 10,26.661415,347.5613,176.5202318,171.041078
10-01-20 11,83.91501,331.9126,276.5868425,55.32575518
10-01-20 12,111.39029,319.61066,215.6421313,103.9685255
10-01-20 13,147.07451,281.6725,221.9024047,59.77008068
10-01-20 14,156.59268,233.97012,118.3011594,115.6689639
10-01-20 15,130.24136,104.98649,112.4872678,-7.500779467
10-01-20 16,58.65871,110.73866,0,110.7386627
10-01-20 17,25.243753,29.998245,0,29.99824524
10-01-20 18,0,78.440216,0,78.44021606
10-01-20 19,0,45.438774,0,45.43877411
10-01-20 20,0,45.438774,0,45.43877411
10-01-20 21,0,45.438774,0,45.43877411
10-01-20 22,0,45.438774,0,45.43877411
10-01-20 23,0,45.438774,0,45.43877411
11-01-20 00,0,45.438774,0,45.43877411
11-01-20 01,0,45.438774,0,45.43877411
11-01-20 02,0,45.438774,0,45.43877411
11-01-20 03,0,45.438774,0,45.43877411
11-01-20 04,0,45.438774,0,45.43877411
11-01-20 05,0,45.438774,0,45.43877411
11-01-20 06,0,45.438774,0,45.43877411
11-01-20 07,0,45.438774,0,45.43877411
11-01-20 08,0,45.438774,3.914715174,41.52405893
11-01-20 09,0,50.21774,80.86284216,-30.64510305
11-01-20 10,14.974898,254.21764,252.2779024,1.939733706
11-01-20 11,71.65889,560.6117,164.8117021,395.7999922
11-01-20 12,68.740105,132.50394,172.4810018,-39.977065
11-01-20 13,50.027184,146.9429,364.2216946,-217.278793
11-01-20 14,93.22829,544.1428,123.7958059,420.3470164
11-01-20 15,95.12165,89.32744,82.46873659,6.858701769
11-01-20 16,60.55588,72.11372,0,72.11372375
11-01-20 17,16.376371,44.502934,0,44.5029335
11-01-20 18,0,59.302433,0,59.30243301
11-01-20 19,0,45.438774,0,45.43877411
11-01-20 20,0,45.438774,0,45.43877411
11-01-20 21,0,45.438774,0,45.43877411
11-01-20 22,0,45.438774,0,45.43877411
11-01-20 23,0,45.438774,0,45.43877411
12-01-20 00,0,45.438774,0,45.43877411
12-01-20 01,0,45.438774,0,45.43877411
12-01-20 02,0,45.438774,0,45.43877411
12-01-20 03,0,45.438774,0,45.43877411
12-01-20 04,0,45.438774,0,45.43877411
12-01-20 05,0,45.438774,0,45.43877411
12-01-20 06,0,45.438774,0,45.43877411
12-01-20 07,0,45.438774,0.09518712,45.34358699
12-01-20 08,0,45.55509,378.1678587,-332.6127669
12-01-20 09,0,1284.2993,2036.196125,-751.8968089
12-01-20 10,29.968533,2076.4656,1714.033939,362.4316367
12-01-20 11,84.02164,1301.237,2476.956019,-1175.718959
12-01-20 12,129.47961,2090.4973,2508.787084,-418.2897696
12-01-20 13,151.31769,1892.5415,1993.86611,-101.3246062
12-01-20 14,170.49408,1211.303,980.1507256,231.152253
12-01-20 15,145.43973,391.1843,165.8828923,225.3014034
12-01-20 16,98.133026,48.432545,0.206022324,48.22652238
12-01-20 17,35.13257,37.66982,0,37.66981888
12-01-20 18,0,95.566536,0,95.56653595
12-01-20 19,0,45.438774,0,45.43877411
12-01-20 20,0,45.438774,0,45.43877411
12-01-20 21,0,45.438847,0,45.43884659
12-01-20 22,0,45.438847,0,45.43884659
12-01-20 23,0,45.438774,0,45.43877411
13-01-20 00,0,45.438774,0,45.43877411
13-01-20 01,0,45.438774,0,45.43877411
13-01-20 02,0,45.438774,0,45.43877411
13-01-20 03,0,45.438774,0,45.43877411
13-01-20 04,0,45.438774,0,45.43877411
13-01-20 05,0,45.438774,0,45.43877411
13-01-20 06,0,45.438774,0,45.43877411
13-01-20 07,0,45.438774,0,45.43877411
13-01-20 08,0,45.438774,36.75052489,8.68824922
13-01-20 09,0,98.83311,212.4438894,-113.6107824
13-01-20 10,19.210573,592.06757,274.5675951,317.4999708
13-01-20 11,68.52818,347.1207,359.8683678,-12.74767075
13-01-20 12,109.14724,465.60904,288.0967747,177.5122647
13-01-20 13,153.97296,384.75677,195.0596168,189.6971581
13-01-20 14,150.96448,173.56349,132.1019884,41.46150346
13-01-20 15,140.60248,124.00188,40.84594933,83.1559275
13-01-20 16,97.26735,64.080765,0,64.08076477
13-01-20 17,36.11086,40.127693,0,40.12769318
13-01-20 18,0,94.21971,0,94.2197113
13-01-20 19,0,45.438774,0,45.43877411
13-01-20 20,0,45.438774,0,45.43877411
13-01-20 21,0,45.438774,0,45.43877411
13-01-20 22,0,45.438774,0,45.43877411
13-01-20 23,0,45.438774,0,45.43877411
14-01-20 00,0,45.438774,0,45.43877411
14-01-20 01,0,45.438774,0,45.43877411
14-01-20 02,0,45.438774,0,45.43877411
14-01-20 03,0,45.438774,0,45.43877411
14-01-20 04,0,45.438774,0,45.43877411
14-01-20 05,0,45.438847,0,45.43884659
14-01-20 06,0,45.438847,0,45.43884659
14-01-20 07,0,45.438774,2.177763853,43.26101026
14-01-20 08,0,48.097984,342.5150898,-294.4171055
14-01-20 09,0,1174.1956,1783.130985,-608.9354284
14-01-20 10,32.818962,1869.7477,1775.04378,94.70390021
14-01-20 11,74.41247,1498.8113,1655.647908,-156.8366289
14-01-20 12,118.21065,1139.6565,1418.400625,-278.7441308
14-01-20 13,168.25352,994.56244,2059.410572,-1064.848133
14-01-20 14,163.23608,1358.5007,1304.886703,53.61402968
14-01-20 15,145.73691,628.1318,251.0725696,377.0592053
14-01-20 16,95.42579,62.3764,2.510556633,59.86584336
14-01-20 17,37.560814,31.795456,0,31.79545593
14-01-20 18,0,92.20454,0,92.20453644
14-01-20 19,0,45.438774,0,45.43877411
14-01-20 20,0,45.438774,0,45.43877411
14-01-20 21,0,45.438774,0,45.43877411
14-01-20 22,0,45.438774,0,45.43877411
14-01-20 23,0,45.438774,0,45.43877411
15-01-20 00,0,45.438774,0,45.43877411
15-01-20 01,0,45.438774,0,45.43877411
15-01-20 02,0,45.438774,0,45.43877411
15-01-20 03,0,45.438774,0,45.43877411
15-01-20 04,0,45.438774,0,45.43877411
15-01-20 05,0,45.438774,0,45.43877411
15-01-20 06,0,45.438774,0,45.43877411
15-01-20 07,0,45.438774,0.007547668,45.43122644
15-01-20 08,0,45.447926,332.3955773,-286.9476517
15-01-20 09,0,1150.3007,1723.221796,-572.9211369
15-01-20 10,22.049274,1748.0767,2019.289584,-271.2129243
15-01-20 11,67.16403,1848.0688,2398.551861,-550.4830135
15-01-20 12,103.51319,1924.0116,2756.101316,-832.0897198
15-01-20 13,133.50522,2268.7065,1090.331031,1178.375512
15-01-20 14,165.41331,741.8846,773.8649463,-31.98036381
15-01-20 15,139.39041,401.2918,266.635519,134.6562901
15-01-20 16,94.06733,82.112465,14.00618874,68.10627617
15-01-20 17,39.013996,35.555027,0,35.55502701
15-01-20 18,0,89.49817,0,89.49816895
15-01-20 19,0,45.438774,0,45.43877411
15-01-20 20,0,45.438774,0,45.43877411
15-01-20 21,0,45.438774,0,45.43877411
15-01-20 22,0,45.438774,0,45.43877411
15-01-20 23,0,45.438774,0,45.43877411
16-01-20 00,0,45.438774,0,45.43877411
16-01-20 01,0,45.438774,0,45.43877411
16-01-20 02,0,45.438774,0,45.43877411
16-01-20 03,0,45.438774,0,45.43877411
16-01-20 04,0,45.438774,0,45.43877411
16-01-20 05,0,45.438774,0,45.43877411
16-01-20 06,0,45.438774,0,45.43877411
16-01-20 07,0,45.438774,0,45.43877411
16-01-20 08,0,45.438774,42.18569116,3.25308295
16-01-20 09,0,116.18283,1101.768343,-985.585512
16-01-20 10,21.125523,1967.9235,2756.081721,-788.1582595
16-01-20 11,74.52185,2935.89,2978.285612,-42.3957194
16-01-20 12,128.39606,2699.3887,2853.400469,-154.0117975
16-01-20 13,169.0632,2318.574,2422.070879,-103.4969042
16-01-20 14,169.63339,1694.4812,1652.440876,42.04032563
16-01-20 15,145.0453,808.50604,601.0219292,207.4841133
16-01-20 16,98.56881,219.31412,14.51532138,204.7987961
16-01-20 17,37.649918,7.8636875,0,7.863687515
16-01-20 18,0.32801753,87.952805,0,87.95280457
16-01-20 19,0,44.21714,0,44.2171402
16-01-20 20,0,45.438774,0,45.43877411
16-01-20 21,0,45.438847,0,45.43884659
16-01-20 22,0,45.438847,0,45.43884659
16-01-20 23,0,45.438774,0,45.43877411
17-01-20 00,0,45.438774,0,45.43877411
17-01-20 01,0,45.438774,0,45.43877411
17-01-20 02,0,45.438774,0,45.43877411
17-01-20 03,0,45.438774,0,45.43877411
17-01-20 04,0,45.438774,0,45.43877411
17-01-20 05,0,45.438774,0,45.43877411
17-01-20 06,0,45.438774,0,45.43877411
17-01-20 07,0,45.438774,0.002479972,45.43629414
17-01-20 08,0,45.44185,155.9678389,-110.5259901
17-01-20 09,0,551.2561,1147.51736,-596.2612564
17-01-20 10,16.91431,1705.7607,1970.128743,-264.368001
17-01-20 11,61.920216,1841.2567,2429.783846,-588.5271317
17-01-20 12,106.82832,2042.0521,1630.992733,411.0593913
17-01-20 13,156.5704,937.68445,2151.476301,-1213.791852
17-01-20 14,175.39653,1591.1936,1308.967195,282.2264086
