 ;SENS 040 / Insolation / Mean Values  [W/m^2]0,
12:15 AM/ 6,0.02
12:30 AM/ 6,0.5
12:45 AM/ 6,0.15
1:00 AM/ 6,0.4
1:15 AM/ 6,0.21
1:30 AM/ 6,0.04
1:45 AM/ 6,0.04
2:00 AM/ 6,0
2:15 AM/ 6,0
2:30 AM/ 6,0.04
2:45 AM/ 6,0.1
3:00 AM/ 6,0.08
3:15 AM/ 6,0.5
3:30 AM/ 6,0.62
3:45 AM/ 6,0.92
4:00 AM/ 6,0.7
4:15 AM/ 6,0.5
4:30 AM/ 6,0.65
4:45 AM/ 6,0.09
5:00 AM/ 6,2.63
5:15 AM/ 6,9.05
5:30 AM/ 6,16.65
5:45 AM/ 6,23.9
6:00 AM/ 6,36.22
6:15 AM/ 6,58.51
6:30 AM/ 6,89.95
6:45 AM/ 6,131.63
7:00 AM/ 6,179.97
7:15 AM/ 6,234.94
7:30 AM/ 6,294.38
7:45 AM/ 6,355.08
8:00 AM/ 6,417.82
8:15 AM/ 6,477.24
8:30 AM/ 6,538.78
8:45 AM/ 6,597.61
9:00 AM/ 6,658.55
9:15 AM/ 6,711.82
9:30 AM/ 6,759.17
9:45 AM/ 6,810.6
10:00 AM/ 6,855.95
10:15 AM/ 6,901.4
10:30 AM/ 6,945.24
10:45 AM/ 6,810.67
11:00 AM/ 6,800.89
11:15 AM/ 6,883.27
11:30 AM/ 6,1068.35
11:45 AM/ 6,833.67
12:00 PM/ 6,1185.81
12:15 PM/ 6,843.16
12:30 PM/ 6,1113.27
12:45 PM/ 6,921.86
1:00 PM/ 6,1095.51
1:15 PM/ 6,1061.71
1:30 PM/ 6,795.19
1:45 PM/ 6,882.43
2:00 PM/ 6,1037.6
2:15 PM/ 6,985.21
2:30 PM/ 6,920.57
2:45 PM/ 6,875.02
3:00 PM/ 6,828.66
3:15 PM/ 6,751.91
3:30 PM/ 6,576.08
3:45 PM/ 6,182.84
4:00 PM/ 6,613.95
4:15 PM/ 6,565.68
4:30 PM/ 6,488.22
4:45 PM/ 6,389.81
5:00 PM/ 6,287.5
5:15 PM/ 6,320.01
5:30 PM/ 6,209.4
5:45 PM/ 6,157.4
6:00 PM/ 6,148.18
6:15 PM/ 6,133.19
6:30 PM/ 6,101.87
6:45 PM/ 6,65.39
7:00 PM/ 6,73.65
7:15 PM/ 6,77.75
7:30 PM/ 6,62.97
7:45 PM/ 6,49.28
8:00 PM/ 6,40.23
8:15 PM/ 6,32.93
8:30 PM/ 6,24.9
8:45 PM/ 6,12.39
9:00 PM/ 6,3.24
9:15 PM/ 6,0.05
9:30 PM/ 6,0
9:45 PM/ 6,0
10:00 PM/ 6,0
10:15 PM/ 6,0
10:30 PM/ 6,0
10:45 PM/ 6,0
11:00 PM/ 6,0
11:15 PM/ 6,0
11:30 PM/ 6,0
11:45 PM/ 6,0
12:00 AM/ 7,0
12:15 AM/ 7,0
12:30 AM/ 7,0
12:45 AM/ 7,0
1:00 AM/ 7,0
1:15 AM/ 7,0
1:30 AM/ 7,0
1:45 AM/ 7,0
2:00 AM/ 7,0
2:15 AM/ 7,0.12
2:30 AM/ 7,0
2:45 AM/ 7,0
3:00 AM/ 7,0
3:15 AM/ 7,0
3:30 AM/ 7,0
3:45 AM/ 7,0
4:00 AM/ 7,0
4:15 AM/ 7,0
4:30 AM/ 7,0
4:45 AM/ 7,0
5:00 AM/ 7,0.87
5:15 AM/ 7,7.7
5:30 AM/ 7,20.26
5:45 AM/ 7,27.49
6:00 AM/ 7,38.64
6:15 AM/ 7,59.22
6:30 AM/ 7,87.76
6:45 AM/ 7,83.03
7:00 AM/ 7,130.1
7:15 AM/ 7,205.93
7:30 AM/ 7,301.45
7:45 AM/ 7,333.92
8:00 AM/ 7,402.87
8:15 AM/ 7,445.04
8:30 AM/ 7,502.6
8:45 AM/ 7,455.7
9:00 AM/ 7,615.78
9:15 AM/ 7,475.34
9:30 AM/ 7,266.97
9:45 AM/ 7,229.53
10:00 AM/ 7,566.54
10:15 AM/ 7,814.91
10:30 AM/ 7,810.84
10:45 AM/ 7,853.75
11:00 AM/ 7,953.76
11:15 AM/ 7,986.09
11:30 AM/ 7,1028.95
11:45 AM/ 7,493.46
12:00 PM/ 7,923
12:15 PM/ 7,537.1
12:30 PM/ 7,641.66
12:45 PM/ 7,571.32
1:00 PM/ 7,691.32
1:15 PM/ 7,973.13
1:30 PM/ 7,936.7
1:45 PM/ 7,722.75
2:00 PM/ 7,358.42
2:15 PM/ 7,263
2:30 PM/ 7,750.92
2:45 PM/ 7,767.85
3:00 PM/ 7,812.13
3:15 PM/ 7,756.85
3:30 PM/ 7,698.79
3:45 PM/ 7,638.53
4:00 PM/ 7,583.95
4:15 PM/ 7,521.03
4:30 PM/ 7,461
4:45 PM/ 7,417.55
5:00 PM/ 7,345.03
5:15 PM/ 7,245.62
5:30 PM/ 7,227.4
5:45 PM/ 7,188.07
6:00 PM/ 7,133.63
6:15 PM/ 7,117.26
6:30 PM/ 7,95.66
6:45 PM/ 7,83.12
7:00 PM/ 7,75.68
