datetime,irradiation(t-24hr)(W/m^2),Power(t-24hr)(W),Predicted(W),Actual(W),error(W)
12-05-17 02,0.006405509,0,-18.998556,0,-18.99855614
12-05-17 03,0.006172833,0,-10.724617,0,-10.724617
12-05-17 04,0.006410333,0,-6.4864035,0,-6.486403465
12-05-17 05,6.576255867,18.89300147,-6.375117,0,-6.375116825
12-05-17 06,77.02162384,280.6366684,-17.786804,0,-17.7868042
12-05-17 07,277.2172641,976.105483,9.791815,6.895129435,2.896685369
12-05-17 08,423.3094896,2138.435172,186.59222,208.2843127,-21.69208854
12-05-17 09,432.7565815,2151.398808,778.8182,715.3369781,63.48119818
12-05-17 10,884.7648489,3968.492439,1852.6498,2438.674156,-586.0243759
12-05-17 11,1001.473879,4239.761554,2695.3552,3542.44829,-847.0930659
12-05-17 12,1032.200614,4277.064786,3182.7976,4022.233907,-839.4362998
12-05-17 13,977.0554976,4053.927147,3292.6667,3753.536259,-460.8695114
12-05-17 14,842.1615416,3621.86176,3308.778,2987.941693,320.8363831
12-05-17 15,598.0085053,2741.883895,3083.5237,3057.735563,25.78811816
12-05-17 16,406.552121,1999.402052,2583.8926,3134.382551,-550.4899731
12-05-17 17,169.3520855,913.0898176,1909.6511,2214.716883,-305.0657596
12-05-17 18,57.63528435,236.1480876,1162.4937,1215.326,-52.83234783
12-05-17 19,32.54717958,115.8898341,582.9433,914.4034496,-331.4601513
12-05-17 20,5.155927242,13.03328259,201.73819,491.1681646,-289.4299749
12-05-17 21,0,0,55.768215,375.4436017,-319.6753866
12-05-17 22,0,0,-4.495507,12.79163892,-17.28714568
12-05-17 23,0,0,-20.128117,0,-20.12811661
13-05-17 00,0,0,-24.356165,0,-24.35616493
13-05-17 01,0,0,-22.579983,0,-22.57998276
13-05-17 02,0.026666668,0,-16.286636,0,-16.28663635
13-05-17 03,0.013088019,0,-10.14052,0,-10.1405201
13-05-17 04,0.145108776,0,-7.2133284,0,-7.213328362
13-05-17 05,8.036347526,22.54910042,-11.264073,0,-11.26407337
13-05-17 06,79.57407264,276.4442448,-21.225647,0,-21.22564697
13-05-17 07,267.8818632,898.1967604,-17.003572,26.17243904,-43.1760115
13-05-17 08,515.2830915,2532.469997,123.918434,307.8854802,-183.9670461
13-05-17 09,737.6883191,3422.759893,644.282,909.0943543,-264.8123718
13-05-17 10,906.7477848,3921.050244,1891.3507,2496.981775,-605.6310667
13-05-17 11,883.041515,3804.640332,2717.2178,3434.187078,-716.9693046
13-05-17 12,958.3965008,4018.144945,3199.989,4133.604064,-933.6150501
13-05-17 13,918.6378005,3831.770029,3269.8948,4334.204604,-1064.309829
13-05-17 14,676.3330086,2942.98883,2932.1238,4287.429171,-1355.305392
13-05-17 15,418.1274344,1940.538492,2729.9707,3634.847744,-904.8770414
13-05-17 16,239.0611277,1111.480683,2509.9336,2613.914564,-103.9809706
13-05-17 17,145.3323409,698.7669459,1949.6954,2169.784118,-220.088683
13-05-17 18,80.52456375,365.3059631,1214.218,999.3521639,214.8658537
13-05-17 19,37.23149183,161.4355903,680.54144,642.8225751,37.71886777
13-05-17 20,3.37479194,10.24791163,270.6024,200.8813362,69.72105024
13-05-17 21,0,0,119.82984,63.50426586,56.32557575
13-05-17 22,0,0,-1.806502,0.585620489,-2.392122474
13-05-17 23,0,0,-20.016237,0,-20.01623726
14-05-17 00,0,0,-25.364975,0,-25.36497498
14-05-17 01,0,0,-24.086508,0,-24.0865078
14-05-17 02,0.019501618,0,-18.318995,0,-18.31899452
14-05-17 03,0.013120584,0,-11.90301,0,-11.90301037
14-05-17 04,0.019230834,0,-8.609125,0,-8.609125137
14-05-17 05,2.732444266,6.895129435,-10.807924,0,-10.80792427
14-05-17 06,44.63010085,208.2843127,-20.481222,0,-20.48122215
14-05-17 07,176.8316664,715.3369781,13.1393175,8.189137501,4.950180011
14-05-17 08,506.1437618,2438.674156,170.15799,120.5111075,49.64688196
14-05-17 09,772.1774826,3542.44829,903.168,310.7199701,592.4480597
14-05-17 10,926.9210825,4022.233907,2042.3425,970.3726925,1071.969837
14-05-17 11,869.5273936,3753.536259,2713.3022,1434.428499,1278.873747
14-05-17 12,663.4720043,2987.941693,3168.397,2693.900764,474.4962089
14-05-17 13,682.5057601,3057.735563,3447.8254,1715.157161,1732.668278
14-05-17 14,712.5797321,3134.382551,3454.7434,2520.03506,934.7083479
14-05-17 15,478.6082018,2214.716883,3078.5654,2417.040297,661.525133
14-05-17 16,250.4472641,1215.326,2484.523,1343.757163,1140.765786
14-05-17 17,187.4336523,914.4034496,1934.3304,1741.117061,193.2133831
14-05-17 18,102.8105254,491.1681646,1102.1433,1790.668846,-688.5255353
14-05-17 19,75.19666133,375.4436017,519.5557,932.4987938,-412.9430687
14-05-17 20,4.043905059,12.79163892,128.34918,309.7915713,-181.4423892
14-05-17 21,0,0,27.36125,189.9066079,-162.545358
14-05-17 22,0,0,-11.951248,14.86423322,-26.81548139
14-05-17 23,0.006410334,0,-22.001125,0,-22.00112534
15-05-17 00,0,0,-24.52376,0,-24.52375984
15-05-17 01,0,0,-22.121738,0,-22.12173843
15-05-17 02,0.019417802,0,-15.572705,0,-15.57270527
15-05-17 03,0.012890636,0,-9.746161,0,-9.746161461
15-05-17 04,0.03298889,0,-7.0455604,0,-7.04556036
15-05-17 05,8.649921325,26.17243904,-11.462336,0,-11.46233559
15-05-17 06,81.72996022,307.8854802,-21.2895,0,-21.28949928
15-05-17 07,272.398895,909.0943543,-14.256583,26.15897546,-40.41555868
15-05-17 08,521.1550309,2496.981775,129.01157,381.3672749,-252.3557088
15-05-17 09,749.0153735,3434.187078,602.48944,1049.726829,-447.2373876
15-05-17 10,944.780352,4133.604064,1662.5297,2060.441714,-397.9120514
15-05-17 11,1046.493677,4334.204604,2370.09,2302.527733,67.56235475
15-05-17 12,1056.564158,4287.429171,2885.235,1957.579719,927.6553886
15-05-17 13,886.4834274,3634.847744,2686.4727,2772.986642,-86.5139858
15-05-17 14,587.9713701,2613.914564,2743.4773,2531.766534,211.7107605
15-05-17 15,489.3261659,2169.784118,2589.1196,2312.131628,276.988001
15-05-17 16,212.0625311,999.3521639,2076.0386,2640.50379,-564.4652154
15-05-17 17,133.6295647,642.8225751,1722.7776,2243.019208,-520.2416203
15-05-17 18,44.88035099,200.8813362,1261.7246,1856.982831,-595.2582215
15-05-17 19,16.49647728,63.50426586,682.5716,932.4350279,-249.8634336
15-05-17 20,0.547008542,0.585620489,256.384,351.1445046,-94.76050196
15-05-17 21,0.006182873,0,111.484276,167.5684348,-56.08415895
15-05-17 22,0,0,-2.9650903,14.01011197,-16.97520225
15-05-17 23,0,0,-21.62741,0,-21.62741089
16-05-17 00,0.006420938,0,-25.103455,0,-25.10345459
16-05-17 01,0.006666667,0,-21.63782,0,-21.63781929
16-05-17 02,0,0,-16.805868,0,-16.80586815
16-05-17 03,0,0,-13.788419,0,-13.78841877
16-05-17 04,0.006666667,0,-13.325528,0,-13.32552814
16-05-17 05,3.401985082,8.189137501,-18.553165,0,-18.55316544
16-05-17 06,28.3747567,120.5111075,-22.35818,0,-22.35817909
16-05-17 07,68.30150125,310.7199701,19.353268,32.36368916,-13.01042149
16-05-17 08,206.0871254,970.3726925,200.32603,291.216747,-90.89071242
16-05-17 09,307.7608742,1434.428499,795.1977,1097.621904,-302.4242114
16-05-17 10,605.8346948,2693.900764,1755.3038,2522.466183,-767.1623501
16-05-17 11,390.0460644,1715.157161,2320.8948,3445.19332,-1124.298545
16-05-17 12,592.0133632,2520.03506,2428.1223,3869.228712,-1441.106398
16-05-17 13,551.2670124,2417.040297,2771.472,3971.245884,-1199.77396
16-05-17 14,296.4367839,1343.757163,2703.8013,4230.082973,-1526.281704
16-05-17 15,376.4221069,1741.117061,2545.827,4064.136299,-1518.309395
16-05-17 16,377.3763565,1790.668846,2412.4656,3632.615719,-1220.150143
16-05-17 17,190.8618309,932.4987938,2029.6342,2972.45413,-942.8199743
16-05-17 18,71.24379541,309.7915713,1466.3809,2043.997649,-577.6167895
16-05-17 19,45.20249123,189.9066079,774.0511,952.8826123,-178.8315259
16-05-17 20,5.098540982,14.86423322,297.38013,268.820014,28.560113
16-05-17 21,0,0,103.18994,144.3369349,-41.14699353
16-05-17 22,0,0,-3.4877455,13.89079619,-17.37854171
16-05-17 23,0.000149583,0,-21.923162,0,-21.92316246
17-05-17 00,0.01886485,0,-25.876871,0,-25.87687111
17-05-17 01,0,0,-23.094883,0,-23.09488297
17-05-17 02,0,0,-16.380737,0,-16.3807373
17-05-17 03,0.01259324,0,-12.329259,0,-12.32925892
17-05-17 04,0,0,-10.505921,0,-10.50592136
17-05-17 05,8.35680735,26.15897546,-16.440329,0,-16.4403286
17-05-17 06,82.50402418,381.3672749,-22.343857,0,-22.34385681
17-05-17 07,240.6841547,1049.726829,31.929306,15.57520336,16.35410267
17-05-17 08,425.9360021,2060.441714,243.35922,261.5671853,-18.20796288
17-05-17 09,484.2211463,2302.527733,941.4514,1127.920182,-186.4687661
17-05-17 10,414.8117826,1957.579719,1905.8467,2572.679613,-666.8329332
17-05-17 11,611.7863222,2772.986642,2579.3801,3477.46206,-898.081933
17-05-17 12,549.6879604,2531.766534,3046.513,4051.238269,-1004.72533
17-05-17 13,494.3398299,2312.131628,3265.8074,3931.534963,-665.7275895
17-05-17 14,565.6952159,2640.50379,3377.829,4252.828347,-874.9992458
17-05-17 15,469.3258654,2243.019208,3199.208,4001.674561,-802.4665528
17-05-17 16,379.274077,1856.982831,2823.8022,3626.813103,-803.0108567
17-05-17 17,182.6753038,932.4350279,2293.022,3045.665311,-752.6433386
17-05-17 18,76.67828978,351.1445046,1557.4684,2171.778779,-614.3103952
17-05-17 19,40.65307216,167.5684348,771.3763,1092.757714,-321.381432
17-05-17 20,5.106600873,14.01011197,197.16685,335.1876372,-138.0207823
