datetime,irradiation_prediction,Predicted_Power_Watts,Actual_Power_Watts,error
01-03-20 05,0.0,4515.2695,0.0,4515.26953125
01-03-20 06,0.0,4499.407,0.0,4499.4072265625
01-03-20 07,0.0,4447.102,3109.3292883183867,1337.7727624628633
01-03-20 08,2.1587322,21106.553,48826.991751078975,-27720.439016703975
01-03-20 09,40.640395999999996,140400.67,78097.92426526535,62302.74760973465
01-03-20 10,107.29845,88655.9,94751.47990581587,-6095.581468315868
01-03-20 11,177.92386000000002,98873.516,105492.21384600247,-6618.698221002473
01-03-20 12,157.19783,75663.76,255307.21507545112,-179643.45726295112
01-03-20 13,197.24516,224711.2,173903.79022282295,50807.41290217705
01-03-20 14,304.32083,148460.4,52472.310094746805,95988.0961552532
01-03-20 15,262.24652000000003,32104.322,16841.608503182862,15262.713762442138
01-03-20 16,169.81545999999997,7104.789,20371.790168430613,-13267.001105930613
01-03-20 17,41.29558,26809.064,710.4374561296253,26098.626996995376
01-03-20 18,53.107037,1189.4291,0.0,1189.4290771484375
01-03-20 19,8.343667999999997,1381.8713,0.0,1381.871337890625
01-03-20 20,0.0,4982.388,0.0,4982.38818359375
01-03-20 21,0.0,4505.1274,0.0,4505.12744140625
01-03-20 22,0.0,4471.7266,0.0,4471.7265625
01-03-20 23,0.0,4616.2427,0.0,4616.24267578125
02-03-20 00,0.0,4511.3203,0.0,4511.3203125
02-03-20 01,0.0,4467.017,0.0,4467.01708984375
02-03-20 02,0.0,4515.444,0.0,4515.44384765625
02-03-20 03,0.0,4508.883,0.0,4508.8828125
02-03-20 04,0.0,4503.196,0.0,4503.19580078125
02-03-20 05,0.0,4446.9365,0.0,4446.9365234375
02-03-20 06,0.0,4487.2485,0.0,4487.24853515625
02-03-20 07,0.0,4501.2495,248.1925456603416,4253.056966058409
02-03-20 08,0.010309278999999918,6044.968,8349.736119268773,-2304.768345831273
02-03-20 09,0.5716219000000001,42994.473,35176.95536836716,7817.517287882838
02-03-20 10,2.116420700000001,80338.42,45905.8711210976,34432.5507539024
02-03-20 11,159.37415,45249.324,21821.61411393406,23427.71010481594
02-03-20 12,283.35577,30961.76,17808.851084771602,13152.908680853398
02-03-20 13,321.8974,27111.318,26786.726842789114,324.591516585886
02-03-20 14,314.0536,27893.621,137527.6896390027,-109634.0685452527
02-03-20 15,293.2347,125822.195,89374.06350970252,36448.13180279748
02-03-20 16,238.12961,32881.008,21146.369187425782,11734.638625074218
02-03-20 17,166.69183000000004,6743.995,857.3902400185672,5886.604877168933
02-03-20 18,84.94080999999998,-347.79422,0.0,-347.7942199707031
02-03-20 19,10.206338,2394.999,0.0,2394.9990234375
02-03-20 20,0.0,5297.896,0.0,5297.89599609375
02-03-20 21,0.0,4537.546,0.0,4537.5458984375
02-03-20 22,0.0,4522.8647,0.0,4522.86474609375
02-03-20 23,0.0,4510.6167,0.0,4510.61669921875
03-03-20 00,0.0,4502.0337,0.0,4502.03369140625
03-03-20 01,0.0,4452.218,0.0,4452.2177734375
03-03-20 02,0.0,4477.093,0.0,4477.0927734375
03-03-20 03,0.0,4526.143,0.0,4526.14306640625
03-03-20 04,0.0,4519.02,0.0,4519.02001953125
03-03-20 05,0.0,4485.312,0.0,4485.31201171875
03-03-20 06,0.0,4540.073,0.0,4540.0732421875
03-03-20 07,0.0,4507.8154,7279.8333369166185,-2772.0179072291185
03-03-20 08,4.182217599999999,39759.848,37112.31611946529,2647.531536784707
03-03-20 09,64.805145,104508.3,63397.89836887232,41110.39850612768
03-03-20 10,148.90973,90159.695,23398.601812233792,66761.0935002662
03-03-20 11,226.55599999999998,33255.664,23725.385804939786,9530.278257560214
03-03-20 12,272.6121,33680.887,19262.774428262033,14418.112290487967
03-03-20 13,286.56403,23039.482,17965.68374958164,5073.79867229336
03-03-20 14,100.21344,13797.589,13807.8066801027,-10.21781291519983
03-03-20 15,5.139435,18012.424,5511.027765769668,12501.396062355332
03-03-20 16,2.1443633999999996,9436.665,1277.081118856306,8159.583920206194
03-03-20 17,3.3914223000000003,4514.1167,34.65954476563412,4479.457154453115
03-03-20 18,48.5052,4210.262,0.0,4210.26220703125
03-03-20 19,6.333482,2356.4539,0.0,2356.453857421875
03-03-20 20,0.0,4918.066,0.0,4918.06591796875
03-03-20 21,0.0,4528.2026,0.0,4528.20263671875
03-03-20 22,0.0,4500.6167,0.0,4500.61669921875
03-03-20 23,0.0,4538.444,0.0,4538.44384765625
04-03-20 00,0.0,4514.9624,0.0,4514.96240234375
04-03-20 01,0.0,4507.702,0.0,4507.7021484375
04-03-20 02,0.0,4494.5796,0.0,4494.57958984375
04-03-20 03,0.0,4497.9995,0.0,4497.99951171875
04-03-20 04,0.0,4527.7065,0.0,4527.70654296875
04-03-20 05,0.0,4507.3286,0.0,4507.32861328125
04-03-20 06,0.0,4492.917,76.40235315037683,4416.514639037123
04-03-20 07,0.0,4951.8306,16911.40161369234,-11959.571047286088
04-03-20 08,5.092831000000001,81532.94,101601.25753630965,-20068.320036309655
04-03-20 09,70.22522,168589.84,167952.6519703565,637.1917796435009
04-03-20 10,156.75488,178342.28,199631.65230817997,-21289.371058179968
04-03-20 11,231.15565,201106.02,144150.06644949375,56955.94917550625
04-03-20 12,276.84967,118228.41,151257.350338407,-33028.944088407006
04-03-20 13,307.77625,124627.98,205469.81184622127,-80841.83528372127
04-03-20 14,311.2919299999999,160213.58,178077.67673019983,-17864.098605199833
04-03-20 15,283.43597,112454.195,102874.61452459644,9579.580787903556
04-03-20 16,231.02174,43077.066,35985.49825504673,7091.568151203268
04-03-20 17,159.11963,8913.458,2359.597864207184,6553.860143605316
04-03-20 18,80.37418000000001,-507.45422,0.0,-507.4542236328125
04-03-20 19,11.152760000000002,1289.7031,0.0,1289.703125
04-03-20 20,0.0,5320.206,0.0,5320.2060546875
04-03-20 21,0.0,4515.4297,0.0,4515.4296875
04-03-20 22,0.0,4489.1523,0.0,4489.15234375
04-03-20 23,0.0,4497.6265,0.0,4497.62646484375
05-03-20 00,0.0,4516.3887,0.0,4516.388671875
05-03-20 01,0.0,4552.591,0.0,4552.5908203125
05-03-20 02,0.0,4502.539,0.0,4502.5390625
05-03-20 03,0.0,4379.2373,0.0,4379.2373046875
05-03-20 04,0.0,4464.32,0.0,4464.31982421875
05-03-20 05,0.0,4398.6987,0.0,4398.69873046875
05-03-20 06,0.0,4503.0728,257.06187514013993,4246.01087876611
05-03-20 07,0.0,5754.406,9877.015124655687,-4122.609362936937
05-03-20 08,6.488484400000001,53843.723,115865.66362748672,-62021.94097123672
05-03-20 09,77.11203,200386.31,224864.80653198456,-24478.494031984563
05-03-20 10,163.6182,238397.94,259748.87435803303,-21350.936858033034
05-03-20 11,240.48471,267909.72,264846.28129208443,3063.43745791557
05-03-20 12,295.61035,251777.17,249658.2897963472,2118.882078652794
05-03-20 13,314.8355,211098.8,220991.35508985593,-9892.558214855933
05-03-20 14,319.43768,171659.36,139625.37081691914,32033.988558080862
05-03-20 15,289.82013,79320.4,106424.82222995644,-27104.423792456437
05-03-20 16,237.70155,46737.195,34178.59476501028,12558.600547489717
05-03-20 17,165.9717,9404.615,2919.042428759,6485.572805616001
05-03-20 18,85.83821,-31.837523,0.0,-31.837522506713867
05-03-20 19,12.092200000000004,1112.1876,0.0,1112.1876220703125
05-03-20 20,0.0,5411.897,0.0,5411.89697265625
05-03-20 21,0.0,4438.6606,0.0,4438.66064453125
05-03-20 22,0.0,4493.3325,0.0,4493.33251953125
05-03-20 23,0.0,4562.246,0.0,4562.24609375
06-03-20 00,0.0,4550.352,0.0,4550.35205078125
06-03-20 01,0.0,4498.9395,0.0,4498.939453125
06-03-20 02,0.0,4514.2207,0.0,4514.220703125
06-03-20 03,0.0,4513.082,0.0,4513.08203125
06-03-20 04,0.0,4528.344,0.0,4528.34423828125
06-03-20 05,0.0,4500.4746,0.0,4500.474609375
06-03-20 06,0.0,4512.638,0.0,4512.63818359375
06-03-20 07,0.0,4506.181,1384.0510500488053,3122.1301022949447
06-03-20 08,6.6776475999999985,10704.347,14775.17215461073,-4070.825474923229
06-03-20 09,50.222908,54185.305,60933.16873353848,-6747.864046038478
06-03-20 10,125.81931000000002,116370.41,128238.43720236281,-11868.03095236281
06-03-20 11,206.64677,165418.42,117225.60207322626,48192.819801773745
06-03-20 12,297.7468,116609.13,43960.45109983518,72648.68171266481
06-03-20 13,321.91895,50852.156,40637.5379420038,10214.6183079962
06-03-20 14,131.00304,33047.207,116196.99257748754,-83149.78554623754
06-03-20 15,296.25097999999997,169451.66,62407.11580060744,107044.54044939256
06-03-20 16,203.45863,20403.242,14066.270699576631,6336.971487923369
06-03-20 17,122.04695,3555.1555,218.8861928467647,3336.2693247313605
06-03-20 18,65.0892,-1581.2101,0.0,-1581.2100830078125
06-03-20 19,12.102231,1482.4476,0.0,1482.4476318359375
06-03-20 20,0.0,5270.82,0.0,5270.81982421875
06-03-20 21,0.0,4538.609,0.0,4538.60888671875
06-03-20 22,0.0,4508.5713,0.0,4508.5712890625
06-03-20 23,0.0,4473.5405,0.0,4473.54052734375
07-03-20 00,0.0,4578.538,0.0,4578.5380859375
07-03-20 01,0.0,4505.869,0.0,4505.869140625
07-03-20 02,0.0,4483.276,0.0,4483.27587890625
07-03-20 03,0.0,4530.4087,0.0,4530.40869140625
07-03-20 04,0.0,4505.9824,0.0,4505.982421875
07-03-20 05,0.0,4504.1973,0.0,4504.197265625
07-03-20 06,0.0,4482.0005,0.7500552662261998,4481.250433015024
07-03-20 07,0.0,4616.5825,3676.222391995566,940.3601275356841
07-03-20 08,7.8954277,21548.654,26473.545791067558,-4924.891494192558
07-03-20 09,50.163296,86436.016,29946.082318329234,56489.93330667076
07-03-20 10,79.881744,31145.441,34202.44651182088,-3057.0051055708827
07-03-20 11,127.790085,39574.254,20399.714296435817,19174.539609814183
07-03-20 12,138.88661000000002,14770.938,20087.527106715323,-5316.588630152823
07-03-20 13,121.40596,10100.331,21576.77067595922,-11476.439621271718
07-03-20 14,100.97417,12488.184,7635.462841330224,4852.720752419776
07-03-20 15,55.620940000000004,1587.5493,4583.37777610886,-2995.8284597026104
07-03-20 16,139.24553999999998,8653.458,1977.9438033542142,6675.514204458286
07-03-20 17,140.43391,2331.3381,0.0,2331.338134765625
07-03-20 18,62.27429,701.9276,0.0,701.9276123046875
07-03-20 19,10.248826,1933.5674,0.0,1933.5673828125
07-03-20 20,0.0,5213.966,0.0,5213.9658203125
07-03-20 21,0.0,4521.892,0.0,4521.89208984375
07-03-20 22,0.0,4465.0425,0.0,4465.04248046875
07-03-20 23,0.0,4518.7646,0.0,4518.7646484375
08-03-20 00,0.0,4542.166,0.0,4542.166015625
08-03-20 01,0.0,4509.7617,0.0,4509.76171875
08-03-20 02,0.0,4509.79,0.0,4509.7900390625
08-03-20 03,0.0,4512.402,0.0,4512.40185546875
08-03-20 04,0.0,4530.1016,0.0,4530.1015625
08-03-20 05,0.0,4532.3027,0.0,4532.302734375
08-03-20 06,0.0,4501.7974,161.7503004131276,4340.047062868122
08-03-20 07,0.0,5126.0586,8297.069060115236,-3171.0104663652364
08-03-20 08,9.763505,41972.91,22682.939499972512,19289.970656277488
08-03-20 09,83.88279,58232.51,42798.24690391085,15434.264814839153
08-03-20 10,174.2161,81468.414,185752.98661307545,-104284.57255057545
08-03-20 11,254.9872,213943.92,272222.3548185062,-58278.432943506225
08-03-20 12,316.09167,263173.66,252617.39922756597,10556.25702243403
08-03-20 13,348.7478,222880.95,228268.17306340561,-5387.219938405615
08-03-20 14,351.69946,177065.56,178877.05399304544,-1811.4914930454397
08-03-20 15,320.45447,109005.125,105374.40025195667,3630.724748043329
08-03-20 16,262.08636,45331.117,34741.817465963664,10589.299721536336
08-03-20 17,183.08130000000003,11246.156,3931.799604298985,7314.356645701015
08-03-20 18,96.484184,805.86725,0.0,805.8672485351562
08-03-20 19,16.31842,870.19415,0.0,870.1941528320312
08-03-20 20,0.0,5491.8545,0.0,5491.8544921875
08-03-20 21,0.0,4509.6904,0.0,4509.6904296875
08-03-20 22,0.0,4515.7085,0.0,4515.70849609375
08-03-20 23,0.0,4511.2637,0.0,4511.263671875
09-03-20 00,0.0,4514.518,0.0,4514.51806640625
09-03-20 01,0.0,4517.0596,0.0,4517.0595703125
09-03-20 02,0.0,4499.0103,0.0,4499.01025390625
09-03-20 03,0.0,4517.4043,0.0,4517.404296875
09-03-20 04,0.0,4499.889,0.0,4499.88916015625
09-03-20 05,0.0,4490.3994,0.0,4490.3994140625
09-03-20 06,0.0,4504.811,803.9410893442071,3700.8699458120427
09-03-20 07,0.0,7448.4263,8869.62852877694,-1421.2022592456906
09-03-20 08,11.170089000000003,41760.934,48158.884602601924,-6397.951008851924
09-03-20 09,77.7359,115794.484,119681.12978300035,-3886.645408000346
09-03-20 10,173.29456000000002,169008.08,176211.4177856002,-7203.339660600206
09-03-20 11,213.00118999999995,164315.03,155480.1190944848,8834.912155515194
09-03-20 12,268.9087,134731.69,134268.57526719614,463.11223280386184
09-03-20 13,297.95068,102514.664,107120.55178169422,-4605.887719194216
09-03-20 14,301.5109,69563.98,115096.44692242147,-45532.47035992147
09-03-20 15,203.36157,77558.68,43866.364722465754,33692.314965034246
09-03-20 16,139.11706999999998,13089.979,23834.75920122999,-10744.78068560499
09-03-20 17,168.43274000000002,18944.852,2864.4195726124185,16080.431989887582
09-03-20 18,76.62671,883.2456,0.0,883.24560546875
09-03-20 19,15.865245999999999,345.50797,0.0,345.5079650878906
09-03-20 20,0.0,5474.0513,0.0,5474.05126953125
09-03-20 21,0.0,4439.747,0.0,4439.7470703125
09-03-20 22,0.0,4436.965,0.0,4436.96484375
09-03-20 23,0.0,4438.4575,0.0,4438.45751953125
10-03-20 00,0.0,4622.043,0.0,4622.04296875
10-03-20 01,0.0,4512.345,0.0,4512.34521484375
10-03-20 02,0.0,4483.413,0.0,4483.4130859375
10-03-20 03,0.0,4500.4985,0.0,4500.49853515625
10-03-20 04,0.0,4404.0127,0.0,4404.0126953125
10-03-20 05,0.0,4410.7866,0.0,4410.78662109375
10-03-20 06,0.0,4434.457,1041.3280642796276,3393.1289669703724
10-03-20 07,0.0,9467.577,12801.99610428456,-3334.4189558470607
10-03-20 08,13.511439000000003,62030.934,137018.04884022102,-74987.11524647102
10-03-20 09,91.52327,211230.05,234378.81496797083,-23148.76809297083
10-03-20 10,184.57211,255733.58,264388.89600446547,-8655.317879465467
10-03-20 11,262.79400000000004,269280.22,214135.92532398092,55144.29342601908
10-03-20 12,305.26923,185364.69,267552.0786493428,-82187.39114934282
10-03-20 13,335.08954,237679.75,196838.14127672365,40841.60872327635
10-03-20 14,355.04364,148773.67,97242.31545815541,51531.35641684459
10-03-20 15,317.67264,58726.785,20255.516787644116,38471.26836860589
10-03-20 16,254.42810000000003,19085.357,15824.507304778474,3260.8501170965264
10-03-20 17,184.16693,8114.9077,1962.7163559251999,6152.19135891855
10-03-20 18,88.48025,1445.622,0.0,1445.6219482421875
10-03-20 19,17.279320000000006,1062.9764,0.0,1062.9764404296875
10-03-20 20,0.0,5511.1367,0.0,5511.13671875
10-03-20 21,0.0,4448.047,0.0,4448.046875
10-03-20 22,0.0,4439.8984,0.0,4439.8984375
10-03-20 23,0.0,4448.8594,0.0,4448.859375
11-03-20 00,0.0,4554.0977,0.0,4554.09765625
11-03-20 01,0.0,4540.966,0.0,4540.9658203125
11-03-20 02,0.0,4477.5176,0.0,4477.517578125
11-03-20 03,0.0,4516.9697,0.0,4516.9697265625
11-03-20 04,0.0,4495.803,0.0,4495.80322265625
11-03-20 05,0.0,4455.7324,0.0,4455.732421875
11-03-20 06,0.0,4349.6245,0.0,4349.62451171875
11-03-20 07,0.0,4686.7383,302.84309144812283,4383.895189801877
11-03-20 08,14.924965000000002,14069.71,53824.97421243416,-39755.26425149666
11-03-20 09,85.36615,154661.3,154494.60242038083,166.6944546191662
11-03-20 10,159.38348,183184.83,208074.02684626507,-24889.19872126507
11-03-20 11,253.93219,228172.48,213302.96525610416,14869.519118895842
11-03-20 12,286.75046000000003,189913.9,211681.19200129647,-21767.28575129647
11-03-20 13,318.00555,181341.23,199843.7318242848,-18502.497449284798
11-03-20 14,353.96692,170790.69,118994.26044033596,51796.42705966404
11-03-20 15,325.24492999999995,72254.2,104191.82573463689,-31937.622609636892
11-03-20 16,259.07153,53836.42,34469.67858900718,19366.743285992823
11-03-20 17,189.06482,11852.297,5231.442876825798,6620.853998174202
11-03-20 18,88.130135,2031.5835,0.0,2031.58349609375
11-03-20 19,19.163042,89.96698,0.0,89.96697998046875
11-03-20 20,0.0,5644.6133,0.0,5644.61328125
11-03-20 21,0.0,4454.1733,0.0,4454.17333984375
11-03-20 22,0.0,4434.438,0.0,4434.43798828125
11-03-20 23,0.0,4438.7554,0.0,4438.75537109375
12-03-20 00,0.0,4549.015,0.0,4549.01513671875
12-03-20 01,0.0,4567.565,0.0,4567.56494140625
12-03-20 02,0.0,4483.857,0.0,4483.85693359375
12-03-20 03,0.0,4374.14,0.0,4374.14013671875
12-03-20 04,0.0,4453.734,0.0,4453.73388671875
12-03-20 05,0.0,4447.749,0.0,4447.7490234375
12-03-20 06,0.0,4419.7944,381.3078584052448,4038.4865751885054
12-03-20 07,0.0,6459.569,10640.241519062025,-4180.672671405775
12-03-20 08,19.143126000000002,51961.973,88078.48094133007,-36116.50828508007
12-03-20 09,100.69261999999999,178194.23,173754.29823407912,4439.93614092088
12-03-20 10,186.30626,202191.61,223955.83659586255,-21764.22722086255
